latitude,longitude,value
3.09141,101.61193,0.191469457518804
3.108921,101.650631,0.19445994969341
3.056431,101.606082,0.370055639695693
3.04022,101.61193,0.118701218660178
3.029994,101.574575,0.273703822753675
3.04984,101.45255,0.137105999434795
3.038138,101.406269,0.197633181736023
3.085275,101.408137,0.167013553055284
3.15966,101.52392,0.086170681847852
3.17088,101.51937,0.262410044794696
3.308327,101.5635,0.13240982136092
3.312478,101.558846,0.136383792091574
3.32489,101.55997,0.110266556912725
3.313599,101.56891,0.25914933824856
3.321936,101.57874,0.0719819173880019
3.339415,101.582533,0.118677219222274
3.320975,101.58885,0.26809842751161
3.305575,101.59488,0.149724660353423
3.301016,101.600702,0.370255062868232
3.290825,101.58313,0.124678047189313
3.271331,101.654528,0.280610630932035
3.231443,101.645407,0.118864737392582
3.20447,101.73882,0.16246325991165
3.21243,101.74018,0.22601348104316
3.204509,101.724995,0.241717374023209
3.199887,101.725004,0.415275363135711
3.17647,101.7546,0.285211215845872
3.172344,101.722639,0.563123192335318
3.16671,101.71979,0.430045660178972
3.172257,101.698703,0.246241132496558
3.17804,101.69543,0.16528693334524
3.163918,101.677895,0.0930811364032402
3.1802,101.6648,0.0980520813054667
3.193448,101.634287,0.189485738747708
3.194683,101.618812,0.304031485530591
3.156583,101.655111,0.475957019830614
3.13343,101.6346,0.214669617381715
3.143955,101.66148,0.17465279151505
3.13244,101.6722,0.108720166760762
3.13047,101.68645,0.235135350147815
3.12905,101.698822,0.209078378385187
3.128742,101.7017,0.315185581266102
3.133385,101.766095,0.363557182281383
3.07435,101.65092,0.324020679773544
3.105846,101.661274,0.242216275222773
3.1064,101.6934,0.13869833527186
3.102066,101.720231,0.49801888184946
3.08563,101.71541,0.299055933029558
3.051816,101.763076,0.293687112759545
3.059945,101.71142,0.216344770805236
3.082058,101.692861,0.282570397257623
3.048434,101.672132,0.163825986266664
3.049335,101.685793,0.194148337657439
3.028126,101.709028,0.139374232090818
2.977296,101.679758,0.0798029793164435
2.97575,101.6908,0.192019787262081
2.94984,101.703,0.130171683879577
2.95654,101.72854,0.227834461386938
2.9125137,101.7039918,0.091219502672088
2.885145,101.687436,0.091977872632316
2.89875,101.662261,0.118644430228847
2.924136,101.665457,0.325455752298029
2.93227,101.67512,0.213541565040626
2.94477,101.67734,0.188298873490983
2.94457,101.66438,0.166650187432916
2.916778,101.645391,0.283362166929636
2.93841,101.62714,0.0739377598855752
